week_start,flight_date,flight_number,origin,destination,route,customer,agreed_tonnage_kg,booked_tonnage_kg,shortfall_kg,base_rate_per_kg,booked_revenue_myr,shortfall_fee_myr,express_surcharge_myr,is_express,total_revenue_myr,status,utilisation_pct
2025-01-06,2025-01-06,AK658,KUL,SIN,KUL-SIN,Shopee Logistics,1504.4,1436.0,68.4,6.92,9937.12,94.67,0.0,False,9937.12,At Risk,95.5
2025-01-06,2025-01-10,AK338,KUL,SIN,KUL-SIN,J&T Express,3157.2,2712.9,444.3,2.69,7297.7,239.03,1094.65,True,8392.35,At Risk,85.9
2025-01-06,2025-01-10,AK818,KUL,SIN,KUL-SIN,Ninja Van,3209.1,3135.8,73.3,5.87,18407.15,86.05,0.0,False,18407.15,At Risk,97.7
2025-01-06,2025-01-08,AK881,KUL,BKK,KUL-BKK,Ninja Van,3641.6,4036.5,0.0,4.54,18325.71,0.0,2748.86,True,21074.57,On Track,110.8
2025-01-06,2025-01-10,AK452,KUL,BKK,KUL-BKK,FedEx Malaysia,959.9,811.0,148.9,4.78,3876.58,142.35,0.0,False,3876.58,Shortfall,84.5
2025-01-06,2025-01-09,AK227,KUL,BKK,KUL-BKK,J&T Express,1690.3,1428.1,262.2,2.76,3941.56,144.73,0.0,False,3941.56,Shortfall,84.5
2025-01-06,2025-01-08,AK982,KUL,BKK,KUL-BKK,Pos Laju,854.6,954.5,0.0,4.26,4066.17,0.0,0.0,False,4066.17,On Track,111.7
2025-01-06,2025-01-08,AK333,KUL,BKK,KUL-BKK,Shopee Logistics,3098.1,3083.0,15.1,6.73,20748.59,20.32,3112.29,True,23860.88,At Risk,99.5
2025-01-06,2025-01-08,AK489,KUL,BKK,KUL-BKK,Lazada Express,4933.5,3994.1,939.4,7.63,30474.98,1433.52,0.0,False,30474.98,Shortfall,81.0
2025-01-06,2025-01-07,AK750,KUL,CGK,KUL-CGK,GDex,3658.2,3516.9,141.3,6.6,23211.54,186.52,3481.73,True,26693.27,At Risk,96.1
2025-01-06,2025-01-10,AK376,KUL,CGK,KUL-CGK,DHL Malaysia,2903.6,2353.3,550.3,3.97,9342.6,436.94,0.0,False,9342.6,Shortfall,81.0
2025-01-06,2025-01-07,AK157,KUL,CGK,KUL-CGK,SF Express,1488.3,1205.7,282.6,4.45,5365.37,251.51,0.0,False,5365.37,Shortfall,81.0
2025-01-06,2025-01-07,AK167,KUL,CGK,KUL-CGK,Kerry Logistics,4198.1,3846.7,351.4,7.33,28196.31,515.15,0.0,False,28196.31,At Risk,91.6
2025-01-06,2025-01-09,AK317,KUL,CGK,KUL-CGK,Lazada Express,4609.1,2733.2,1875.9,5.9,16125.88,2213.56,0.0,False,16125.88,Shortfall,59.3
2025-01-06,2025-01-07,AK371,KUL,CGK,KUL-CGK,Pos Laju,2280.3,1416.7,863.6,7.99,11319.43,1380.03,0.0,False,11319.43,Shortfall,62.1
2025-01-06,2025-01-07,AK324,KUL,MNL,KUL-MNL,Kerry Logistics,3130.6,2490.9,639.7,7.89,19653.2,1009.45,0.0,False,19653.2,Shortfall,79.6
2025-01-06,2025-01-07,AK212,KUL,MNL,KUL-MNL,SF Express,2792.9,2033.4,759.5,3.05,6201.87,463.3,930.28,True,7132.15,Shortfall,72.8
2025-01-06,2025-01-09,AK165,KUL,MNL,KUL-MNL,J&T Express,3323.5,3081.3,242.2,7.25,22339.43,351.19,0.0,False,22339.43,At Risk,92.7
2025-01-06,2025-01-06,AK666,KUL,MNL,KUL-MNL,GDex,2217.3,1649.2,568.1,8.48,13985.22,963.5,0.0,False,13985.22,Shortfall,74.4
2025-01-06,2025-01-08,AK839,KUL,SGN,KUL-SGN,Kerry Logistics,1002.0,669.5,332.5,5.11,3421.15,339.82,0.0,False,3421.15,Shortfall,66.8
2025-01-06,2025-01-08,AK208,KUL,SGN,KUL-SGN,J&T Express,4873.5,5360.1,0.0,7.07,37895.91,0.0,0.0,False,37895.91,On Track,110.0
2025-01-06,2025-01-07,AK482,KUL,SGN,KUL-SGN,GDex,4287.5,3627.8,659.7,5.55,20134.29,732.27,3020.14,True,23154.43,Shortfall,84.6
2025-01-06,2025-01-07,AK159,KUL,PEN,KUL-PEN,Kerry Logistics,4454.2,3964.8,489.4,7.49,29696.35,733.12,0.0,False,29696.35,At Risk,89.0
2025-01-06,2025-01-06,AK597,KUL,PEN,KUL-PEN,Shopee Logistics,4451.0,2965.6,1485.4,8.18,24258.61,2430.11,3638.79,True,27897.4,Shortfall,66.6
2025-01-06,2025-01-09,AK775,KUL,PEN,KUL-PEN,GDex,4900.9,3912.6,988.3,5.7,22301.82,1126.66,3345.27,True,25647.09,Shortfall,79.8
2025-01-06,2025-01-09,AK721,KUL,PEN,KUL-PEN,Ninja Van,4760.8,4268.7,492.1,3.49,14897.76,343.49,0.0,False,14897.76,At Risk,89.7
2025-01-06,2025-01-07,AK806,KUL,PEN,KUL-PEN,SF Express,4839.6,3423.3,1416.3,8.07,27626.03,2285.91,0.0,False,27626.03,Shortfall,70.7
